entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,1.35,306.7,1573490611000,226.43
wibee-14004-01,Energy,/rabanales,1.98,449.22,1573513118000,227.39
wibee-14004-01,Energy,/rabanales,2.57,583.82,1573504115000,226.85
wibee-14004-01,Energy,/rabanales,2.14,487.62,1573506816000,227.75
wibee-14004-01,Energy,/rabanales,2.1,480.53,1573508016000,229.07
wibee-14004-01,Energy,/rabanales,2.14,489.17,1573509516000,228.83
wibee-14004-01,Energy,/rabanales,1.78,406.12,1573511017000,228.73
wibee-14004-01,Energy,/rabanales,1.76,405.72,1573511617000,230.25
wibee-14004-01,Energy,/rabanales,1.95,442.96,1573512517000,226.61
wibee-14004-01,Energy,/rabanales,1.82,410.51,1573513718000,225.87
wibee-14004-01,Energy,/rabanales,1.34,307.58,1573527050000,229.18
wibee-14004-01,Energy,/rabanales,1.46,333.38,1573527951000,228.51
wibee-14004-01,Energy,/rabanales,1.43,326.46,1573530051000,228.78
wibee-14004-01,Energy,/rabanales,1.44,329.53,1573530651000,228.78
wibee-14004-01,Energy,/rabanales,1.32,301.12,1573531252000,228.28
wibee-14004-01,Energy,/rabanales,1.33,305.01,1573531552000,228.83
wibee-14004-01,Energy,/rabanales,1.43,326.66,1573525850000,228.8
wibee-14004-01,Energy,/rabanales,1.44,329.18,1573528251000,228.6
wibee-14004-01,Energy,/rabanales,1.43,326.7,1573530351000,228.51
wibee-14004-01,Energy,/rabanales,8.03,1798.45,1573540855000,223.88
wibee-14004-01,Energy,/rabanales,7.71,1730.85,1573541155000,224.45
wibee-14004-01,Energy,/rabanales,8.21,1852.42,1573544156000,225.64
wibee-14004-01,Energy,/rabanales,8.09,1824.18,1573544456000,225.48
wibee-14004-01,Energy,/rabanales,5.28,1201.89,1573545056000,227.63
wibee-14004-01,Energy,/rabanales,7.86,1760.6,1573540254000,224.03
wibee-14004-01,Energy,/rabanales,9.23,2074.76,1573543555000,224.71
wibee-14004-01,Energy,/rabanales,1.35,308.63,1573546857000,227.88
wibee-14004-01,Energy,/rabanales,1.1,252.65,1573545956000,229.35
wibee-14004-01,Energy,/rabanales,1.53,345.08,1573571464000,225.93
wibee-14004-01,Energy,/rabanales,1.42,319.68,1573573565000,225.34
wibee-14004-01,Energy,/rabanales,1.34,300.32,1573575666000,223.91
wibee-14004-01,Energy,/rabanales,1.37,305.24,1573576566000,223.55
wibee-14004-01,Energy,/rabanales,1.37,307.21,1573577166000,224.76
wibee-14004-01,Energy,/rabanales,1.51,339.89,1573577766000,225.11
wibee-14004-01,Energy,/rabanales,1.47,331.28,1573578967000,224.86
wibee-14004-01,Energy,/rabanales,1.21,272.73,1573572965000,225.05
wibee-14004-01,Energy,/rabanales,1.44,323.32,1573579267000,224.8
wibee-14004-01,Energy,/rabanales,1.78,399.11,1573592471000,224.79
wibee-14004-01,Energy,/rabanales,1.7,385.56,1573594271000,226.66
wibee-14004-01,Energy,/rabanales,1.72,391.02,1573596972000,227.21
wibee-14004-01,Energy,/rabanales,1.68,383.67,1573597572000,227.99
wibee-14004-01,Energy,/rabanales,1.71,391.11,1573598173000,228.77
wibee-14004-01,Energy,/rabanales,1.68,382.19,1573601174000,227.81
wibee-14004-01,Energy,/rabanales,1.72,391.03,1573601474000,227.75
wibee-14004-01,Energy,/rabanales,1.71,388.28,1573602674000,227.66
wibee-14004-01,Energy,/rabanales,1.9,428.25,1573603574000,225.38
wibee-14004-01,Energy,/rabanales,7.27,1627.23,1573626682000,223.73
wibee-14004-01,Energy,/rabanales,7.22,1620.33,1573626982000,224.55
wibee-14004-01,Energy,/rabanales,7.45,1667.4,1573625781000,223.95
wibee-14004-01,Energy,/rabanales,1.23,278.55,1573617979000,226.59
wibee-14004-01,Energy,/rabanales,1.24,280.49,1573618879000,226.68
wibee-14004-01,Energy,/rabanales,1.25,284.93,1573619179000,227.05
wibee-14004-01,Energy,/rabanales,1.22,275.77,1573620380000,225.79
wibee-14004-01,Energy,/rabanales,1.19,268.87,1573620680000,225.68
wibee-14004-01,Energy,/rabanales,1.27,285.11,1573623081000,223.85
wibee-14004-01,Energy,/rabanales,1.95,439.97,1573644987000,226.07
wibee-14004-01,Energy,/rabanales,1.2,271.67,1573638385000,225.69
wibee-14004-01,Energy,/rabanales,1.27,285.97,1573638986000,225.63
wibee-14004-01,Energy,/rabanales,1.22,276.27,1573639886000,226.13
wibee-14004-01,Energy,/rabanales,1.23,277.91,1573641386000,226.82
wibee-14004-01,Energy,/rabanales,1.22,276.25,1573642287000,227.37
wibee-14004-01,Energy,/rabanales,1.28,289.46,1573643487000,226.94
wibee-14004-01,Energy,/rabanales,1.29,292.54,1573646188000,226.21
wibee-14004-01,Energy,/rabanales,1.21,274.97,1573648589000,227.78
wibee-14004-01,Energy,/rabanales,6.32,1408.64,1573659092000,223.03
wibee-14004-01,Energy,/rabanales,1.61,359.83,1573661193000,223.35
wibee-14004-01,Energy,/rabanales,7.42,1652.5,1573660592000,222.8
wibee-14004-01,Energy,/rabanales,1.24,279.06,1573662693000,224.66
wibee-14004-01,Energy,/rabanales,1.26,282.99,1573664193000,225.15
wibee-14004-01,Energy,/rabanales,1.19,269.82,1573665094000,226.18
wibee-14004-01,Energy,/rabanales,1.21,273.21,1573666894000,225.46
wibee-14004-01,Energy,/rabanales,1.21,272.77,1573666294000,225.1
wibee-14004-01,Energy,/rabanales,1.22,274.9,1573667194000,225.07
wibee-14004-01,Energy,/rabanales,1.22,278.85,1573736516000,228.47
wibee-14004-01,Energy,/rabanales,10.85,2464.15,1573744019000,225.92
wibee-14004-01,Energy,/rabanales,1.53,346.97,1573746119000,226.17
wibee-14004-01,Energy,/rabanales,1.22,275.45,1573732615000,225.48
wibee-14004-01,Energy,/rabanales,1.22,277.65,1573735916000,227.31
wibee-14004-01,Energy,/rabanales,1.2,275.09,1573736816000,229.13
wibee-14004-01,Energy,/rabanales,1.24,283.72,1573738317000,228.82
wibee-14004-01,Energy,/rabanales,1.28,282.79,1573738917000,228.65
wibee-14004-01,Energy,/rabanales,1.31,294.94,1573742218000,225.47
wibee-14004-01,Energy,/rabanales,1.52,342.64,1573747020000,225.22
wibee-14004-01,Energy,/rabanales,10.75,2412.23,1573747920000,224.4
wibee-14004-01,Energy,/rabanales,1.38,307.74,1573751821000,222.92
wibee-14004-01,Energy,/rabanales,1.34,301.87,1573752121000,225.34
wibee-14004-01,Energy,/rabanales,1.42,319.18,1573753322000,225.37
wibee-14004-01,Energy,/rabanales,1.41,317.48,1573754222000,224.88
wibee-14004-01,Energy,/rabanales,1.26,283.02,1573748520000,224.69
wibee-14004-01,Energy,/rabanales,1.33,298.32,1573750921000,224.42
wibee-14004-01,Energy,/rabanales,1.37,307.7,1573751221000,223.8
wibee-14004-01,Energy,/rabanales,7.8,1749.46,1573762625000,224.35
wibee-14004-01,Energy,/rabanales,8.35,1870.73,1573757523000,223.92
wibee-14004-01,Energy,/rabanales,8.14,1827.37,1573763525000,224.38
wibee-14004-01,Energy,/rabanales,1.89,423.06,1573755422000,224.41
wibee-14004-01,Energy,/rabanales,1.86,418.64,1573755722000,225.14
wibee-14004-01,Energy,/rabanales,2.09,468.79,1573760824000,224.45
wibee-14004-01,Energy,/rabanales,2.42,547.12,1573762024000,225.84
wibee-14004-01,Energy,/rabanales,2.5,561.28,1573763825000,224.72
wibee-14004-01,Energy,/rabanales,1.36,305.82,1573754822000,224.4
wibee-14004-01,Energy,/rabanales,2.26,515.08,1573766826000,227.52
wibee-14004-01,Energy,/rabanales,1.65,375.07,1573767126000,227.98
wibee-14004-01,Energy,/rabanales,1.73,393.06,1573767426000,226.85
wibee-14004-01,Energy,/rabanales,1.64,373.72,1573769827000,227.62
wibee-14004-01,Energy,/rabanales,1.66,378.67,1573771027000,228.47
wibee-14004-01,Energy,/rabanales,1.64,374.68,1573771327000,228.72
wibee-14004-01,Energy,/rabanales,1.54,350.23,1573771627000,228.98
wibee-14004-01,Energy,/rabanales,2.71,613.51,1573765025000,226.3
wibee-14004-01,Energy,/rabanales,1.7,385.6,1573769227000,227.01
wibee-14004-01,Energy,/rabanales,7.18,1628.62,1573778830000,226.97
wibee-14004-01,Energy,/rabanales,1.8,412.55,1573772528000,228.75
wibee-14004-01,Energy,/rabanales,1.73,393.34,1573772828000,227.84
wibee-14004-01,Energy,/rabanales,1.68,383.88,1573773128000,227.84
wibee-14004-01,Energy,/rabanales,1.68,384.93,1573773728000,229.34
wibee-14004-01,Energy,/rabanales,1.8,413.42,1573774028000,230.15
wibee-14004-01,Energy,/rabanales,1.84,417.71,1573775529000,227.28
wibee-14004-01,Energy,/rabanales,1.28,290.75,1573779730000,226.65
wibee-14004-01,Energy,/rabanales,1.21,275.16,1573777329000,227.6
wibee-14004-01,Energy,/rabanales,1.39,316.83,1573789633000,227.54
wibee-14004-01,Energy,/rabanales,1.25,285.69,1573780330000,227.92
wibee-14004-01,Energy,/rabanales,1.21,276.42,1573783331000,227.88
wibee-14004-01,Energy,/rabanales,1.25,284.31,1573784231000,227.82
wibee-14004-01,Energy,/rabanales,1.24,282.92,1573784532000,227.32
wibee-14004-01,Energy,/rabanales,1.2,272.74,1573785732000,227.61
wibee-14004-01,Energy,/rabanales,1.23,279.43,1573786032000,227.63
wibee-14004-01,Energy,/rabanales,1.21,276.56,1573782131000,228.1
wibee-14004-01,Energy,/rabanales,1.21,275.3,1573786332000,227.69
wibee-14004-01,Energy,/rabanales,7.44,1670.03,1573803137000,224.47
wibee-14004-01,Energy,/rabanales,7.15,1618.99,1573810640000,226.35
wibee-14004-01,Energy,/rabanales,9.27,2107.68,1573801637000,227.33
wibee-14004-01,Energy,/rabanales,9.1,2050.29,1573802537000,225.35
