197,47.0,22.5,1.15,2021-04-22T16:28:56.000
198,46.5,22.7,0.87,2021-04-22T16:33:56.000
199,44.5,22.9,1.65,2021-04-22T16:38:56.000
200,47.5,23.1,1.46,2021-04-22T16:43:57.000
201,46.0,22.8,0.96,2021-04-22T16:48:57.000
202,45.0,22.7,1.41,2021-04-22T16:53:57.000
203,46.0,22.6,0.86,2021-04-22T16:58:57.000
204,45.0,22.7,0.72,2021-04-22T17:03:58.000
205,45.0,22.8,1.15,2021-04-22T17:08:58.000
206,45.0,22.6,1.27,2021-04-22T17:13:58.000
207,48.0,22.2,0.66,2021-04-22T17:18:58.000
208,46.5,22.2,0.3,2021-04-22T17:23:59.000
209,45.5,22.4,1.74,2021-04-22T17:28:59.000
210,46.0,22.5,0.53,2021-04-22T17:33:59.000
211,45.5,22.4,0.47,2021-04-22T17:38:59.000
212,44.5,22.5,0.65,2021-04-22T17:43:59.000
213,45.0,22.6,0.28,2021-04-22T17:48:59.000
214,44.5,22.5,0.27,2021-04-22T17:53:59.000
215,45.0,22.3,0.05,2021-04-22T17:59:00.000
216,46.0,22.1,0.08,2021-04-22T18:04:00.000
217,45.0,22.1,0.41,2021-04-22T18:09:00.000
218,46.5,22.1,0.09,2021-04-22T18:14:00.000
219,46.0,22.0,0.04,2021-04-22T18:19:01.000
220,47.0,21.9,0.0,2021-04-22T18:24:01.000
221,47.5,21.6,0.0,2021-04-22T18:29:01.000
222,47.5,21.5,0.0,2021-04-22T18:34:01.000
223,49.5,21.4,0.0,2021-04-22T18:39:02.000
224,50.0,21.2,0.0,2021-04-22T18:44:02.000
225,51.5,21.0,0.04,2021-04-22T18:49:02.000
226,53.5,20.9,0.3,2021-04-22T18:54:02.000
227,60.0,20.3,2.77,2021-04-22T18:59:02.000
228,61.5,19.6,3.13,2021-04-22T19:04:02.000
229,62.0,19.3,3.19,2021-04-22T19:09:03.000
230,61.0,19.4,3.17,2021-04-22T19:14:04.000
231,60.0,19.5,4.02,2021-04-22T19:19:04.000
232,60.0,19.1,3.89,2021-04-22T19:24:04.000
233,59.0,19.1,2.91,2021-04-22T19:29:04.000
234,60.5,19.1,1.52,2021-04-22T19:34:04.000
235,61.5,18.9,0.19,2021-04-22T19:39:04.000
236,66.0,18.2,0.86,2021-04-22T19:44:05.000
237,65.0,17.9,0.13,2021-04-22T19:49:05.000
238,66.0,17.8,0.2,2021-04-22T19:54:05.000
239,67.5,17.6,0.11,2021-04-22T19:59:05.000
240,68.5,17.5,0.01,2021-04-22T20:04:05.000
241,69.0,17.5,0.4,2021-04-22T20:09:05.000
242,68.0,17.5,0.0,2021-04-22T20:14:05.000
243,70.0,17.5,0.03,2021-04-22T20:19:06.000
244,70.0,17.2,0.49,2021-04-22T20:24:06.000
245,71.5,17.0,1.05,2021-04-22T20:29:06.000
246,74.0,16.4,0.87,2021-04-22T20:34:06.000
247,74.5,16.1,0.73,2021-04-22T20:39:06.000
248,76.5,16.1,0.62,2021-04-22T20:44:06.000
249,76.0,16.0,0.13,2021-04-22T20:49:07.000
250,76.5,15.9,0.0,2021-04-22T20:54:07.000
251,76.5,16.0,0.1,2021-04-22T20:59:07.000
252,77.5,15.7,1.12,2021-04-22T21:04:07.000
253,79.5,15.4,1.26,2021-04-22T21:09:07.000
254,80.5,15.2,0.52,2021-04-22T21:14:08.000
255,81.0,15.0,1.22,2021-04-22T21:19:08.000
256,81.0,15.0,0.52,2021-04-22T21:24:08.000
